Título,Nota,N_Avaliações,Desconto,Marca,Material,Gênero,Temporada,Review1,Review2,Review3,Qtd_Vendidos,Preço,Nota_MinMax,N_Avaliações_MinMax,Desconto_MinMax,Preço_MinMax,Marca_Cod,Material_Cod,Temporada_Cod,Qtd_Vendidos_Cod,Marca_Freq,Material_Freq,Qtd_Vendidos_Numeric,Preço_Final,Receita_Estimada,Faixa_Preço,Classificação_Nota
kit 10 cuecas boxer lupo cueca box algodão masculina atacado,4.5,3034.0,18.0,lupo,algodão,masculino,outono/inverno,"as cuecas são boas; porém você percebe na costura que não são originais! já experimentei duas brancas, e o mesmo acontece com as duas, quando eu subo a cueca, ela dá um estralinho como se tivesse rasgado e quando olhei, soltou um pouco da costura de lado! tem que vestir com muito cuidado! fora isso, é uma replica muito bem feita da original! aaah. não gostei muito do elastico de cima! é muito curtinho, queria q fosse maior. mas resumindo: cueca bem confortavel, nao dobra e nem sobe.","pelo preço promocional, com ctz tem algum defeito de fabricação. pq não é normal furar a cueca na imenda na primeira vez que vc usa. infelizmente isso aconteceu comigo e não foi só com uma cueca e sim com 3 unidades. agora eu não sei o que é pior, perder 16 reais do valor da cueca usando ela apenas algumas horas ou ficar com a cueca furada no trabalho.","serviram muito bem, porém é nítido que o pano não é algodão, e posso confirmar a diferença pois possuo o mesmo modelo de cuecas lupo que comprei em outra ocasião e comparando ambos os panos e costuras essa diferença fica notável. pelo custo beneficio e mesmo sendo um material diferente, aparenta valer a pena, porém, só o tempo (e algumas lavagens rs) irá dizer se é de qualidade.",+10mil,232.89,0.8148148148148148,0.3341780520052886,0.2131147540983606,0.3785853142798676,463,25,3,10000.0,0.0422919508867667,0.176443838108231,10000.0,190.9698,1909698.0,R$200-500,Boa
kit com 10 cuecas boxer algodão sem costura zorba 781,4.7,5682.0,20.0,zorba,algodão,masculino,não definido,"o tecido é bom e são confortáveis. só que a numeração não é precisa, visto 40 então tentei comprar a p conforme especificado no guia de tamanho. porém, para minha sorte não tinha mais p disponível e eu comprei m. o resultado é que caiu perfeitamente. então uma dica é comprar um tamanho maior. antes deixar o bicho solto do quê sem ar.","vendo comentários de outros consumidores vejo que quanto ao tamanho realmente há problemas; tenho 1. 85 e peso 88 kg, pedi o tamanho maior disponível, gg, e ficou um pouco apertado mesmo assim. já comprei em lojas exatamente a mesma medida e dá pra notar a diferença. mas no geral o produto é bom, só atentem para o tamanho.","produto não é nem de longe original, tecido grosso e com pouco elastano.",+50mil,199.9,0.888888888888889,0.625936535918907,0.2459016393442623,0.3223287063879131,838,25,1,50000.0,0.0090950432014552,0.176443838108231,50000.0,159.92000000000002,7996000.000000001,R$100-200,Excelente
kit 10 cuecas boxer mash algodão cotton box original oferta,4.6,1700.0,22.0,mash,algodão,masculino,primavera/verão,"as cuecas são boas, porém meu marido usa g e pedir gg por causa dos outros comentários de compradores que falaram ser forma pequena. então ficaram muito grandes!!! com certeza logo vão lacear por esse motivo. tentar lavar a mão para evitar que fique caindo tão rápido. recomendo a compra, porém podem pedir o tamanho correto que usam. sem essa presepada de pedir tamanho maior. sobre qualidade somente depois de lavar para saber ao certo!!! na próxima, pedirei o número que ele realmente usa.","e o tamanho certo, mas em baixo dela, fica muito curto, apertado demais. aperta todos os ovos, na moral me arrependo de ter comprado. nesse valor ainda, melhor ter comprado da lupo.","produto não parece. original e veio 2 modelos completamente distintos. costuras grosseiras, elastico parece esgarçado e com rebarbas.",+10mil,229.39,0.8518518518518517,0.1871970030850595,0.2786885245901639,0.3726168957402544,494,25,7,10000.0,0.0109140518417462,0.176443838108231,10000.0,178.92419999999998,1789241.9999999998,R$200-500,Excelente
kit 3 short jeans feminino cintura alta barato atacado,4.4,507.0,9.0,menina linda,jean,feminino,primavera/verão,"estou encantada com essas peças!. os shorts são lindos e super confortáveis, comprem sem medo!.","recomendo, tecido confortável, igual a foto.","gostei muito dos shorts, material bom, para usar no dia a dia está ótimo.",+1000,129.2,0.777777777777778,0.0557514323490524,0.0655737704918032,0.2017666518877255,509,74,7,1000.0,0.0100045475216007,0.0254661209640745,1000.0,117.57199999999999,117571.99999999999,R$100-200,Boa
blusa + calça térmica treino futebol criança infantil fleece,4.7,58.0,5.0,roupa zero grau,termico unissex,sem gênero infantil,outono/inverno,"produto ótimo , mesmo após várias lavagens não forma bolinha, não encolhe , não desbota. já tinha comprado ano passado e comprei novamente esse ano. minha filha tem 5 anos é magrinha, comprei o tamanho 8 e ficou folgadinho, vai usar bastante. meu filho de 10 anos comprei o 14 e também ficou bem folgadinho. podem comprar sem medo de errar. 😊.",produto de boa qualidade. não gruda pêlos e nem faz bolinha. super quentinha.,super quentinho. só achei a gola muito aberta.,+100,78.03,0.888888888888889,0.006280299691494,0.0,0.1145083728385798,669,166,3,100.0,0.0022737608003638,0.0009095043201455,100.0,74.1285,7412.85,R$50-100,Excelente
kit 4 cuecas boxer lupo em algodão masculina cotton original,4.6,2382.0,22.0,lupo,algodão,masculino,primavera/verão,"muito bom , eu sempre gostei de usar cueca com folga mas resolvi seguir as orientações das medidas na tabela e ficou ótimo. peguei a m (normalmente pego um tamanho acima) mas ficou muito bom, perfeito. se tivesse arriscado no tamanho g teria ficado muito largo. tenho 1. 75 altura e 76kg.",as cuecas são de péssima qualidade as mais falsas que existe. eu uso cuecas lupo há muito tempo não gostei porque é anunciado como original. estou só o ódio.,"eu tenho 1,80 e peso 80 kg, a g ficou perfeita.",+10mil,89.9,0.8518518518518517,0.2623402379903041,0.2786885245901639,0.1347498380000682,463,25,7,10000.0,0.0422919508867667,0.176443838108231,10000.0,70.122,701220.0,R$50-100,Excelente
kit 2 cuecas boxer lupo basic microfibra sem costura box,4.8,1429.0,30.0,lupo,microfibra,masculino,primavera/verão,excelente produto e muito durável. não sei como vai ser pq este produto dura muito. comprei novo conjunto depois de quase 3 anos. então se você quiser esquecer de comprar cueca pelo menos por 3 anos este é o produto ideal.,"já conhecia esse produto de alta qualidade e preço baixo, tenho uma cueca dessa a 5 anos e ainda vai servir por mais tempo kkk, as cuecas de poliamida da lupo são excelentes, já as de algodão não duram um mês, não comprem as de algodão, comprem essa de poliamida são muito boas e bem duráveis m.","produto original, estava com medo de comprar e não ser igual ao original porém me surpreendeu a qualidade do produto em breve vou comprar mais cuecas!.",+10mil,69.99,0.925925925925926,0.1573380343763772,0.4098360655737705,0.1007980628218682,463,101,7,10000.0,0.0422919508867667,0.0300136425648021,10000.0,48.992999999999995,489929.99999999994,R$50-100,Excelente
pacote 4 cuecas boxer algodão box masculina cotton zorba,4.6,2290.0,25.0,zorba,algodão,masculino,primavera-verão outono-inverno,"a cueca é sensacional! a melhor cueca que eu já tive. tenho o quadril bem largo e sempre tive dificuldade de achar uma cueca boa, então se vc quer uma cueca confortável, vc achou!.","na foto de corea diversas tem 4 cores, então dá a entender que viria as 4 cores. mais veio 2 brancas, coisa que detesto branco, mais por achar q viria somente 1 então relevei, mais veio 2, coisa q me decepcionei. o tecido é bom. o formato é um pouco grande, mais vai servir.","já conhecia o produto, então, sem novidades. excelente qualidade. o único inconveniente foi que os pacotes vieram repetidos, portanto, apenas 2 cores ao invés de 4 como esperava.",+10mil,105.99,0.8518518518518517,0.25220361392684,0.3278688524590164,0.1621875106578902,838,25,6,10000.0,0.0090950432014552,0.176443838108231,10000.0,79.49249999999999,794924.9999999999,R$100-200,Excelente
faixa peitoral para ginecomastia reduz volume do peito homem,4.4,78.0,18.0,men'spa,"82% poliéster, 18% elastodieno",masculino,não definido,as tetas ficaram bem de boas.,produto perfeito isso aumenta a autoestima de um jeito incrivel muito obrigado.,"comprei o tamanho m e precisei dar um ajuste nela, porém após a cirurgia perdeu o volume, pode ter sido por isso. mas muito boa, de início da sensação que ficará descendo, mas depois acostuma.",+1000,119.31,0.777777777777778,0.008483913618334,0.2131147540983606,0.1849016063572184,507,10,1,1000.0,0.001819008640291,0.001819008640291,1000.0,97.83420000000001,97834.20000000001,R$100-200,Boa
"kit com 4 short para usar embaixo da roupa, vestido, saia",4.2,88.0,11.0,silvest lingerie,poliéster,feminino,primavera/verão,estou dando 5 estrelas em todos pq tudo que compro no mercado livre e ótimo.,são só fino mais serve pra usar não esquenta sao fresquinho.,não veio como na foto. é minúsculo!. o tamanho eg adulto doei para uma criança de 9 anos. o cumprimento das coxas veio errado! na foto mostra uma coisa e veio com 3 dedos !. não gostei!.,+1000,57.93,0.7037037037037038,0.009585720581754,0.0983606557377049,0.0802325977968009,719,122,7,1000.0,0.0022737608003638,0.1173260572987721,1000.0,51.5577,51557.7,R$50-100,Boa
